# Generated by gnome/backup.sh on 2026-03-04 16:46:29 -03
# format: uuid|scope|enabled|source_type|source|name|version
AlphabeticalAppGrid@stuarthayhurst|system|true|package|gnome-shell-extension-alphabetical-grid-extension|Alphabetical App Grid|
apps-menu@gnome-shell-extensions.gcampax.github.com|system|false|package|gnome-shell-extensions|Apps Menu|
arch-update@RaphaelRochet|system|true|package|gnome-shell-extension-arch-update|Arch Linux Updates Indicator|
auto-move-windows@gnome-shell-extensions.gcampax.github.com|system|false|package|gnome-shell-extensions|Auto Move Windows|
copyous@boerdereinar.dev|system|true|package|gnome-shell-extension-copyous|Copyous|
dash-to-panel@jderose9.github.com|system|true|package|gnome-shell-extension-dash-to-panel|Dash to Panel|
drive-menu@gnome-shell-extensions.gcampax.github.com|system|true|package|gnome-shell-extensions|Removable Drive Menu|
gTile@vibou|system|true|package|gnome-shell-extension-gtile|gTile|
launch-new-instance@gnome-shell-extensions.gcampax.github.com|system|false|package|gnome-shell-extensions|Launch New Instance|
light-style@gnome-shell-extensions.gcampax.github.com|system|false|package|gnome-shell-extensions|Light Style|
native-window-placement@gnome-shell-extensions.gcampax.github.com|system|false|package|gnome-shell-extensions|Native Window Placement|
places-menu@gnome-shell-extensions.gcampax.github.com|system|false|package|gnome-shell-extensions|Places Status Indicator|
power-off-options@axelitama.github.io|local|false|manual|https://github.com/axelitama/power-off-options|Power Off Options|
save-my-windows@lukastymo.com|local|true|manual|https://github.com/lukastymo/save-my-windows|Save My Windows|
screenshot-window-sizer@gnome-shell-extensions.gcampax.github.com|system|false|package|gnome-shell-extensions|Screenshot Window Sizer|
status-icons@gnome-shell-extensions.gcampax.github.com|system|false|package|gnome-shell-extensions|Status Icons|
system-monitor@gnome-shell-extensions.gcampax.github.com|system|false|package|gnome-shell-extensions|System Monitor|
user-theme@gnome-shell-extensions.gcampax.github.com|system|true|package|gnome-shell-extensions|User Themes|
window-list@gnome-shell-extensions.gcampax.github.com|system|false|package|gnome-shell-extensions|Window List|
windowsNavigator@gnome-shell-extensions.gcampax.github.com|system|false|package|gnome-shell-extensions|Window Navigator|
workspace-indicator@gnome-shell-extensions.gcampax.github.com|system|false|package|gnome-shell-extensions|Workspace Indicator|
